StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q3,Q4,Q24,Q31_First Click,Q31_Last Click,Q31_Page Submit,Q31_Click Count,Q32,message_final,SC0,ID,Recipient_Demographics,backbutton
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Please note that you must be 18 years of age or older to participate in this study.,"If you have read the information above and agree to participate with the understanding that the data (including any personal data) you submit will be processed accordingly, please check the relevant box below to get started.","It is important that you are aware of who you are writing the message 
to. Please click on the correct description of the recipient of your 
message.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please write your message of advice in the box below. It should be about reconciling online work with family obligations, and it should be based on your own experiences. The person who will receive your message is an  and already has experience working on MTurk.

 

You will be able to submit your message after 5 minutes. Please write 200 words or more.

 
Your word count is: 0","Do you want to submit your message?

 

No changes can be made after submitting. Remember that your message needs to be 200 words or more.
 

To submit your message, click on the ""Submit"" button below.

 

Your word count is: 0",Score,ID,Recipient_Demographics,backbutton
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID20""}","{""ImportId"":""QID25_FIRST_CLICK""}","{""ImportId"":""QID25_LAST_CLICK""}","{""ImportId"":""QID25_PAGE_SUBMIT""}","{""ImportId"":""QID25_CLICK_COUNT""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""SC_cHAjHEeBurP7KDz""}","{""ImportId"":""ID""}","{""ImportId"":""Recipient_Demographics""}","{""ImportId"":""backbutton""}"
2020-07-13 18:14:20,2020-07-13 18:46:04,0,100,1903,1,2020-07-13 18:46:04,R_1HACs5yjrkQZ94Z,anonymous,EN,1,1,3,0.533,1807.628,1811.981,109,"The online work with family obliteration its very useful money people expert this types work.The work save time earn lots of money easily just known fluent  English  language Patience.The work experience is very good and interesting to work.when we work this type of jobs can understand life ideas we know creative ideas. The work experience is feel very happy low level stress no depression and no tension. We are work with family and friends our own ideas so lots peoples try to get this type of jobs so some people use this chance to fool online advertisement .This job is well trusted and hopeful so i will work day by  day continuously.The work  benefits is improve English knowledge  clear mentally problems high paid job so no money problem.this job helpful  in critical times for money.my family members also work this job continuously because they are enjoying  this job.work is available any time want good internet connection only. This jobs is work in every places is own laptop or own computer and internet connection.but all peoples are not eligible to work because not good English 
 language  so not eligible all peoples only know  fluent English language for  eligible to this  work   ","The online work with family obliteration its very useful money people expert this types work.The work save time earn lots of money easily just known fluent  English  language Patience.The work experience is very good and interesting to work.when we work this type of jobs can understand life ideas we know creative ideas. The work experience is feel very happy low level stress no depression and no tension. We are work with family and friends our own ideas so lots peoples try to get this type of jobs so some people use this chance to fool online advertisement .This job is well trusted and hopeful so i will work day by  day continuously.The work  benefits is improve English knowledge  clear mentally problems high paid job so no money problem.this job helpful  in critical times for money.my family members also work this job continuously because they are enjoying  this job.work is available any time want good internet connection only. This jobs is work in every places is own laptop or own computer and internet connection.but all peoples are not eligible to work because not good English 
 language  so not eligible all peoples only know  fluent English language for  eligible to this  work   ",0,1,"<object width=""80"" height=""20"" type=""text/plain"" data=""https://raw.githubusercontent.com/maxkasy/Adaptive_matching_messages/master/Pipeline/Qualtrics_input/F-US-1/1_recipient.txt"" border=""0"" >
</object>",gone
2020-07-13 19:15:45,2020-07-13 19:30:02,0,100,857,1,2020-07-13 19:30:03,R_9QAkbKrx3uSuwsV,anonymous,EN,1,1,3,24.916,59.023,646.05,2,"Online work is very useful one for every one life. It's Most important one to useful for all kind of people in the world. Then also family obligations are very very important of every human life. That's only improve their family life and happiness. I am tell to you online work is very important and also family obligation are very important both two are consider as two eyes in our body . Kept it up both in your life this only are growth your life financially free and live happy for ever your life. your also already experience on Mturk field already you know that work and rewards. Kept it up in your life. Fit for Work can help supplement the advice an employee receives from their employer’s occupational health provider or through their own private insurance. It can also be used to supplement employers’ sickness absence policies and procedures.The success of jobs search engines in bridging the gap between jobseekers and employers has spawned thousands of job sites, many of which list job opportunities in a specific sector, such as education, health care, hospital management, academics and even in the non-governmental sector. These sites range from broad all-purpose generalist job boards to niche sites that serve various audiences, geographies, and industries. Many industry experts are encouraging jobseekers to concentrate on industry specific sector sites.","Online work is very useful one for every one life. It's Most important one to useful for all kind of people in the world. Then also family obligations are very very important of every human life. That's only improve their family life and happiness. I am tell to you online work is very important and also family obligation are very important both two are consider as two eyes in our body . Kept it up both in your life this only are growth your life financially free and live happy for ever your life. your also already experience on Mturk field already you know that work and rewards. Kept it up in your life. The success of jobs search engines in bridging the gap between jobseekers and employers has spawned thousands of job sites, many of which list job opportunities in a specific sector, such as education, health care, hospital management, academics and even in the non-governmental sector. These sites range from broad all-purpose generalist job boards to niche sites that serve various audiences, geographies, and industries. Many industry experts are encouraging jobseekers to concentrate on industry specific sector sites. Fit for Work can help supplement the advice an employee receives from their employer’s occupational health provider or through their own private insurance. It can also be used to supplement employers’ sickness absence policies and procedures",0,2,"<object width=""80"" height=""20"" type=""text/plain"" data=""https://raw.githubusercontent.com/maxkasy/Adaptive_matching_messages/master/Pipeline/Qualtrics_input/F-US-1/2_recipient.txt"" border=""0"" >
</object>",gone
2020-07-13 19:37:36,2020-07-13 19:52:51,0,100,914,1,2020-07-13 19:52:52,R_3jZqNQrsAhTmPY1,anonymous,EN,1,1,3,0.486,730.958,731.879,43,"MY ONLINE WORK EXPERIENCE IN 5 YEARS . IT IS VERY EASY TO EARN MONEY AND . VERY EASY TO WORK FROM ONLINE . THIS JOBS FROM ONLY ONLINE WORKERS . THIS IS VERY US FULL OFFER FOR ALL PEOPLES . IN THIS SITUATION IN CORONA VIRUS PANDEMIC TIME IN VERY USEFUL TO ONLINE WORKS IN ALL OFF THE PEOPLES . IT IS VERY USEFUL TO FUTURE AND MAINTAIN IN OUR FAMILY . ONE MIDDLE CLASS  FAMILY IS VERY USEFUL THAT OPPORTUNITY . USE THIS OPPORTUNITY. VERY EASY TO WORK FROM ONLINE AND EASY WAY TO EARN MONEY FROM HOUSE . LEARN THE JOB AND EARN THE MONEY EASILY . THAT IS VERY EASY WAY TO FAMILY MAINTAIN . AND COLLAGE STUDENTS AND SCHOOL STUDENTS AND OLD FAMILY MEMBERS WORK PART TIME ON ONLINE WORK . VERY EASY WORK TO ON THIS TIME AND EARN MONEY . IT IS VERY EASY TO WORK IN HOME . THAT WORK WORK IN COMPUTER AND PC AND SMART PHONES AND I PHONES IT IS VERY EASY WAY TO WROK EASY TO EARN MONEY MONTHLY 40000 SALARY CONFORM VERY EASY TO EARN MONEY IT IS VERY EASY WORK FROM OUR HOME AND FAMILY .  ","MY ONLINE WORK EXPERIENCE IN 5 YEARS . IT IS VERY EASY TO EARN MONEY AND . VERY EASY TO WORK FROM ONLINE . THIS JOBS FROM ONLY ONLINE WORKERS . THIS IS VERY US FULL OFFER FOR ALL PEOPLES . IN THIS SITUATION IN CORONA VIRUS PANDEMIC TIME IN VERY USEFUL TO ONLINE WORKS IN ALL OFF THE PEOPLES . IT IS VERY USEFUL TO FUTURE AND MAINTAIN IN OUR FAMILY . ONE MIDDLE CLASS  FAMILY IS VERY USEFUL THAT OPPORTUNITY . USE THIS OPPORTUNITY. VERY EASY TO WORK FROM ONLINE AND EASY WAY TO EARN MONEY FROM HOUSE . LEARN THE JOB AND EARN THE MONEY EASILY . THAT IS VERY EASY WAY TO FAMILY MAINTAIN . AND COLLAGE STUDENTS AND SCHOOL STUDENTS AND OLD FAMILY MEMBERS WORK PART TIME ON ONLINE WORK . VERY EASY WORK TO ON THIS TIME AND EARN MONEY . IT IS VERY EASY TO WORK IN HOME . THAT WORK WORK IN COMPUTER AND PC AND SMART PHONES AND I PHONES IT IS VERY EASY WAY TO WROK EASY TO EARN MONEY MONTHLY 40000 SALARY CONFORM VERY EASY TO EARN MONEY IT IS VERY EASY WORK FROM OUR HOME AND FAMILY .  ",0,3,"<object width=""80"" height=""20"" type=""text/plain"" data=""https://raw.githubusercontent.com/maxkasy/Adaptive_matching_messages/master/Pipeline/Qualtrics_input/F-US-1/3_recipient.txt"" border=""0"" >
</object>",gone
2020-07-13 20:23:46,2020-07-13 20:35:23,0,100,697,1,2020-07-13 20:35:23,R_r9JwbQw8RhrDY7T,anonymous,EN,1,1,3,0.808,536.519,559.473,19,"I would just like to say that I am working from home still and live in a small house and have a child, which kind of makes it very difficult to manage everything. So, I have started getting more patient and mostly trying to work in a separate room away from the whole family. As I do live in a very small house that is difficult sometimes, so I actually did sit down my whole family and told them how to act when I am working and not disturbing me during. They understood that  I need space to work and did distance themselves from me.
You can also just try doing the work when everyone is asleep if that is possible or even wake up really early to do it. I mostly did my work when everyone was asleep which gave me peace of mind. I remember this one day I tried doing my work at night but couldn't and then ended up missing the day's pay, so you do have to get used to it to work. 
But, mostly I would really suggest that you should make your family understand that working in the home is going to part of their lives and they have to give enough space for that.
","I would just like to say that I am working from home still and live in a small house and have a child, which kind of makes it very difficult to manage everything. So, I have started getting more patient and mostly trying to work in a separate room away from the whole family. As I do live in a very small house that is difficult sometimes, so I actually did sit down my whole family and told them how to act when I am working and not disturbing me during. They understood that  I need space to work and did distance themselves from me.
You can also just try doing the work when everyone is asleep if that is possible or even wake up really early to do it. I mostly did my work when everyone was asleep which gave me peace of mind. I remember this one day I tried doing my work at night but couldn't and then ended up missing the day's pay, so you do have to get used to it to work. 
But, mostly I would really suggest that you should make your family understand that working in the home is going to part of their lives and they have to give enough space for that.
",0,4,"<object width=""80"" height=""20"" type=""text/plain"" data=""https://raw.githubusercontent.com/maxkasy/Adaptive_matching_messages/master/Pipeline/Qualtrics_input/F-US-1/4_recipient.txt"" border=""0"" >
</object>",gone
